source_term,ja_term,definition_ja,match_mode,notes
Universal Audit Data Converter,汎用監査データ変換器,異なる入力構文と監査用出力形式を共通意味モデルを介して変換する仕組み,phrase,UADCの正式名称
UADC,UADC,Universal Audit Data Converterの略称,literal,略称は翻訳しない
Hierarchical Tidy Data,階層型Tidy Data,階層クラス及び繰返しクラスを、ディメンション付きの疎な行で表現するデータモデル,phrase,Tidy Dataは英語表記を維持
Structured CSV,構造化CSV,階層型Tidy Dataを一つのCSVファイルで表現するUADCの中間形式,literal,固有形式名
Logical Hierarchical Model,論理階層モデル,業務用語、クラス階層、データ型、多重度及びセマンティックパスを定義するモデル,phrase,
LHM,LHM,Logical Hierarchical Modelの略称,literal,略称は翻訳しない
syntax binding,構文結合,入力又は出力構文上の位置と、共通セマンティックモデル上の項目を対応付ける定義,phrase,
semantic binding,セマンティック結合,共通セマンティックモデル上の項目と、出力先のフラットファイル項目を対応付ける定義,phrase,
binding table,結合定義表,項目間の対応関係及び変換規則を保持する表,phrase,
join table,結合表,複数の定義表をセマンティックパスなどのキーで結合した、実行用又はレビュー用の表,phrase,
semantic path,セマンティックパス,LHM内のクラス又は属性の意味上の位置を表すパス,phrase,
semantic_path,semantic_path,LHM内の意味上の位置を保持するCSV列名,literal,識別子は翻訳しない
multiplicity,multiplicity,クラス又は属性が出現できる回数を表す多重度の列,literal,CSV列名は英語を維持
selector,selector,同じ要素が担う複数の意味上の役割を、子要素の値などによって識別する条件,literal,実装用語は英語を維持
XPath,XPath,XML文書内の要素または属性位置を指定するパス式,literal,
dimension,ディメンション,構造化CSVで、階層クラスの出現及び親子関係を識別するための情報,phrase,
dimensions,ディメンション,構造化CSVで、階層クラスの出現及び親子関係を識別するための情報,phrase,複数形
dimension column,ディメンション列,クラスの出現番号及び祖先との関係を保持する列,phrase,
row scope,行スコープ,構造化CSVの一行が値を保持するクラスの範囲,phrase,
sparse row,疎な行,その行が所有する属性及び祖先ディメンションだけに値を持つ行,phrase,
repeated class,繰返しクラス,複数回出現でき、独立したディメンション行を持つクラス,phrase,
repeated classes,繰返しクラス,複数回出現でき、独立したディメンション行を持つクラス,phrase,複数形
singular child class,非繰返し子クラス,独立した行スコープを持たず、最も近い繰返し祖先の行に値を保持する子クラス,phrase,
repeated child class,繰返し子クラス,1番目の出現から親行とは独立した行を持つ、繰返し可能な子クラス,phrase,
source syntax,入力構文,Phase 1で共通セマンティックモデルへ変換する元の文書形式,phrase,
target view,出力ビュー,Phase 2で生成する、用途別の表又はXBRL GLインスタンス,phrase,
mapping status,対応状況,出力項目との対応可否又は対応方法を分類する状態,phrase,
round trip,ラウンドトリップ,元の形式から中間形式へ変換し、再び元の形式へ戻して整合性を検証する処理,phrase,
Phase 1,Phase 1,入力構文を構造化CSVへ変換する処理段階,literal,
Phase 2,Phase 2,構造化CSVを用途別の出力形式へ変換する処理段階,literal,
EN 16931,EN 16931,欧州電子インボイスのセマンティックモデルを定める規格,literal,
OpenPeppol BIS Billing,OpenPeppol BIS Billing,EN 16931を基礎とするPeppolの請求仕様,literal,
UBL Invoice,UBL Invoice,OASIS UBLで定義されたInvoice XML文書,literal,
xBRL-CSV,xBRL-CSV,XBRL Open Information Modelに基づくCSV表現,literal,
XBRL GL,XBRL GL,会計及び業務取引の詳細情報を表現するXBRLタクソノミ,literal,
ADS PSV,ADS PSV,AICPA Audit Data Standardsのデータをパイプ区切り形式で表現した出力,literal,
ADS XBRL GL,ADS XBRL GL,ADSの出力ビューをXBRL GLインスタンスとして表現した出力,literal,
ISO 21378 ADC,ISO 21378 ADC,ISO 21378のAudit Data Collectionで定義される対象表,literal,
OIM,OIM,XBRL Open Information Modelの略称,literal,
taxonomy,タクソノミ,概念、データ型、ディメンション及び関係を定義するXBRL定義一式,phrase,
definition linkbase,定義リンクベース,XBRLのディメンション関係などを定義するリンクベース,phrase,
presentation linkbase,表示リンクベース,XBRL概念の表示階層を定義するリンクベース,phrase,
Arelle,Arelle,XBRL及びOIMの読み込みと検証に使用するソフトウェア,literal,
audit trail,監査証跡,操作、承認、転記などの履歴を追跡できる情報,phrase,
ERP,ERP,企業資源計画システム,literal,
Seller,売手,インボイスに記載された商品又はサービスの売手,phrase,
Buyer,買手,インボイスに記載された商品又はサービスの買手,phrase,
Invoice,インボイス,請求に関する文書又は、その最上位クラス,phrase,
Operational Conversion Scripts,運用用変換スクリプト,実際のPhase 1及びPhase 2処理に使用するプログラム群,phrase,
Documentation,文書,利用者及び開発者向けの説明資料,phrase,
Purpose,目的,文書またはプログラムが達成する内容,phrase,
Scope,対象範囲,文書又は処理が対象とする範囲,phrase,
Processing Model,処理モデル,入力から出力までの処理構造,phrase,
Processing overview,処理概要,プログラム内部の主な処理順序,phrase,
Command-line arguments,コマンドライン引数,プログラム実行時に指定する引数,phrase,
Results,実行結果,プログラムが生成するファイル及び終了状態,phrase,
Regression Tests,回帰テスト,既存機能が引き続き正しく動作することを確認するテスト,phrase,
User Guide,ユーザーガイド,操作手順を説明する文書,phrase,
Program Specification,プログラム仕様,入出力、関数及び制約を定義する文書,phrase,
